id;name;address;zipcode;latitude;longitude;telephone;openingHours;delivery;city;linktype;link
1;Restoran Vegehop;Vlaška ulica 79;10000;45.81462343;15.98823879;014649400;Mon-Sat 12:00-20:00;t;Zagreb;website;vegehop.hr
1;Restoran Vegehop;Vlaška ulica 79;10000;45.81462343;15.98823879;014649400;Mon-Sat 12:00-20:00;t;Zagreb;facebook;facebook.com/vegehop
1;Restoran Vegehop;Vlaška ulica 79;10000;45.81462343;15.98823879;014649400;Mon-Sat 12:00-20:00;t;Zagreb;instagram;instagram.com/vegehop_restaurant
1;Restoran Vegehop;Vlaška ulica 79;10000;45.81462343;15.98823879;014649400;Mon-Sat 12:00-20:00;t;Zagreb;youtube;youtube.com/user/Vegehop
2;Gajbica;Vlaška ulica 7;10000;45.81391498;15.97946271;0915141274;Mon-Sat 11:00-18:00;t;Zagreb;website;gajbica.eatbu.com
2;Gajbica;Vlaška ulica 7;10000;45.81391498;15.97946271;0915141274;Mon-Sat 11:00-18:00;t;Zagreb;facebook;facebook.com/gajbicahr
2;Gajbica;Vlaška ulica 7;10000;45.81391498;15.97946271;0915141274;Mon-Sat 11:00-18:00;t;Zagreb;instagram;instagram.com/gajbica_zg
3;OAZA Joyful Kitchen;Ulica Pavla Radića 9;10000;45.8143454;15.97565004;0976602744;Mon-Fri 10:00-21:00,Sat 12:00-21:00;t;Zagreb;website;joyful-kitchen.com
3;OAZA Joyful Kitchen;Ulica Pavla Radića 9;10000;45.8143454;15.97565004;0976602744;Mon-Fri 10:00-21:00,Sat 12:00-21:00;t;Zagreb;facebook;facebook.com/oaza.joyful.kitchen
3;OAZA Joyful Kitchen;Ulica Pavla Radića 9;10000;45.8143454;15.97565004;0976602744;Mon-Fri 10:00-21:00,Sat 12:00-21:00;t;Zagreb;instagram;instagram.com/oaza.joyful.kitchen
3;OAZA Joyful Kitchen;Ulica Pavla Radića 9;10000;45.8143454;15.97565004;0976602744;Mon-Fri 10:00-21:00,Sat 12:00-21:00;t;Zagreb;tiktok;tiktok.com/@oaza.joyful.kitchen
3;OAZA Joyful Kitchen;Ulica Pavla Radića 9;10000;45.8143454;15.97565004;0976602744;Mon-Fri 10:00-21:00,Sat 12:00-21:00;t;Zagreb;linkedin;linkedin.com/company/oaza-joyful-kitchen
4;BEKIND;Ilica 75;10000;45.81245345;15.96450714;015534763;Tue-Sat 09:00-22:00,Sun 09:00-16:00;f;Zagreb;website;bekind.hr
4;BEKIND;Ilica 75;10000;45.81245345;15.96450714;015534763;Tue-Sat 09:00-22:00,Sun 09:00-16:00;f;Zagreb;facebook;facebook.com/bekind.zagreb
4;BEKIND;Ilica 75;10000;45.81245345;15.96450714;015534763;Tue-Sat 09:00-22:00,Sun 09:00-16:00;f;Zagreb;instagram;instagram.com/bekind.zagreb
5;Zrno bio bistro;Medulićeva ulica 20;10000;45.81122113;15.96667598;014847540;Mon-Sat 12:00-21:30;t;Zagreb;website;zrnobiobistro.hr
5;Zrno bio bistro;Medulićeva ulica 20;10000;45.81122113;15.96667598;014847540;Mon-Sat 12:00-21:30;t;Zagreb;facebook;facebook.com/zrnobiobistro
5;Zrno bio bistro;Medulićeva ulica 20;10000;45.81122113;15.96667598;014847540;Mon-Sat 12:00-21:30;t;Zagreb;instagram;instagram.com/zrnobiobistro
6;Falafel, etc.;Ulica Andrije Žaje 60;10000;45.8069589;15.95334024;012343945;Mon-Sun 11:00-21:30;t;Zagreb;website;falafeletc.com.hr
6;Falafel, etc.;Ulica Andrije Žaje 60;10000;45.8069589;15.95334024;012343945;Mon-Sun 11:00-21:30;t;Zagreb;facebook;facebook.com/falafeletczg
7;Shambala;Iločka ulica 34;10000;45.79956603;15.95967074;0957618710;Mon-Fri 11:00-18:00,Sat-Sun 11:00:16:00;t;Zagreb;facebook;facebook.com/people/Shambala-Vegan-food-sweets-more/100083364727743
8;Simple Green by Jelena;Zelinska Ulica 7;10000;45.80106354;15.97246634;015561679;Mon-Sat 08:00-16:00;t;Zagreb;website;simplegreenbyjelena.com
8;Simple Green by Jelena;Zelinska Ulica 7;10000;45.80106354;15.97246634;015561679;Mon-Sat 08:00-16:00;t;Zagreb;facebook;facebook.com/profile.php?id=100057104513129
8;Simple Green by Jelena;Zelinska Ulica 7;10000;45.80106354;15.97246634;015561679;Mon-Sat 08:00-16:00;t;Zagreb;instagram;instagram.com/simplegreen_by_jelena
8;Simple Green by Jelena;Zelinska Ulica 7;10000;45.80106354;15.97246634;015561679;Mon-Sat 08:00-16:00;t;Zagreb;tripadvisor;tripadvisor.com/Restaurant_Review-g294454-d11844934-Reviews-Simple_Green_Bake_by_Jelena-Zagreb_Central_Croatia.html
9;Vege Fino za sve;Ulica Lavoslava Ružičke 48;10000;45.79626824;15.96986333;098777577;Mon-Fri 10:00-18:00,Sun 12:00-18:00;t;Zagreb;website;vegefinozasve.com
9;Vege Fino za sve;Ulica Lavoslava Ružičke 48;10000;45.79626824;15.96986333;098777577;Mon-Fri 10:00-18:00,Sun 12:00-18:00;t;Zagreb;facebook;facebook.com/VegeFinoZaSve
10;Barcode Mitra;Zagrebačka cesta 113;10000;45.80673849;15.92470464;013770428;Mon-Sat 14:00-22:00;t;Zagreb;website;barcodemitra.hr
10;Barcode Mitra;Zagrebačka cesta 113;10000;45.80673849;15.92470464;013770428;Mon-Sat 14:00-22:00;t;Zagreb;facebook;facebook.com/BarcodeMitra
10;Barcode Mitra;Zagrebačka cesta 113;10000;45.80673849;15.92470464;013770428;Mon-Sat 14:00-22:00;t;Zagreb;instagram;instagram.com/barcode_mitra
